block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,3,21.28,1,2.25,460356,Y2,0.24/noise-like,0.00/noise-like,0,16.019,SPECTRAL-LINE
0,1,3,1.76,1,2.45,303805,Y2,,,0,15.726,clean
0,2,3,1.53,1,2.31,1066267,Y2,,,0,15.834,clean
0,3,3,1.46,1,2.47,3129,Y4,,,0,16.063,clean
0,4,3,1.42,1,2.36,643104,Y4,,,0,16.173,clean
0,5,3,1.36,1063,2.42,1298457,Y2,,,0,16.189,clean
0,6,3,1.43,1540,2.26,995100,Y4,,,0,15.863,clean
0,7,3,1.54,1,2.40,124544,Y4,,,0,15.390,clean
0,8,3,1.76,1,2.47,1152635,Y4,,,0,15.141,clean
0,9,3,1.69,1,2.71,785887,Y2,,,0,14.967,clean
0,10,3,1.69,1,2.49,475198,Y4,,,0,14.796,clean
0,11,3,1.54,1,2.60,922322,Y4,,,0,14.737,clean
0,12,3,1.52,1,2.77,105947,Y4,,,0,14.597,clean
0,13,3,1.77,1,2.35,1048118,Y4,,,0,14.154,clean
0,14,3,1.78,1,2.32,560582,Y2,,,0,13.628,clean
0,15,3,1.94,1,2.36,743508,Y4,,,0,13.378,clean
0,16,3,1.73,1,2.22,1050800,Y4,,,0,13.275,clean
0,17,3,1.77,1,2.43,248283,Y4,,,0,13.349,clean
0,18,3,1.63,1,2.59,1275927,Y4,,,0,14.400,clean
0,19,3,1.60,1,2.49,918388,Y2,,,0,13.713,clean
0,20,3,1.92,1,2.62,698090,Y4,,,0,13.523,clean
0,21,3,2.01,1,2.47,1384288,Y2,,,0,13.288,clean
0,22,3,1.96,1,2.36,789464,Y2,,,0,13.208,clean
0,23,3,1.76,1,2.51,35852,Y2,,,0,13.274,clean
0,24,3,1.66,1,2.55,1386255,Y4,,,0,13.420,clean
0,25,3,1.69,1,2.38,378370,Y4,,,0,13.503,clean
0,26,3,1.82,1,2.28,1077265,Y2,,,0,13.385,clean
0,27,3,1.92,1,2.67,270635,Y4,,,0,13.153,clean
