block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,0,6.79,1,2.47,662059,Y4,0.00/noise-like,0.00/noise-like,1,19.366,SPECTRAL-LINE
0,1,0,1.51,1,2.36,604212,Y2,,,0,18.763,clean
0,2,0,1.39,1,2.53,387400,Y4,,,0,18.197,clean
0,3,0,1.63,1,2.36,1225501,Y4,,,0,17.834,clean
0,4,0,1.32,1334,2.33,305414,Y2,,,0,17.684,clean
0,5,0,1.60,1,2.27,66429,Y4,,,0,17.861,clean
0,6,0,1.41,291,2.30,38266,Y4,,,0,18.189,clean
0,7,0,1.37,1,2.20,435412,Y2,,,0,18.031,clean
0,8,0,1.34,1535,2.29,1106858,Y2,,,0,17.387,clean
0,9,0,1.51,1,2.59,8672,Y2,,,0,17.161,clean
0,10,0,1.58,1,2.46,199020,Y4,,,0,17.378,clean
0,11,0,1.75,1,2.67,154406,Y2,,,0,17.323,clean
0,12,0,1.66,1,2.35,46581,Y4,,,0,17.259,clean
0,13,0,1.37,1010,2.58,608414,Y4,,,0,16.993,clean
0,14,0,1.51,1,2.44,138402,Y2,,,0,16.365,clean
0,15,0,1.55,1,2.32,1334935,Y4,,,0,15.944,clean
0,16,0,1.44,232,2.75,359148,Y4,,,0,15.990,clean
0,17,0,1.37,444,2.48,938952,Y2,,,0,16.443,clean
0,18,0,1.65,352,2.45,921071,Y2,,,0,18.076,clean
0,19,0,1.60,1,2.47,632018,Y4,,,0,16.389,clean
0,20,0,1.70,1,2.37,1314908,Y4,,,0,15.395,clean
0,21,0,1.58,1,2.32,966847,Y2,,,0,14.887,clean
0,22,0,1.61,1,2.37,277162,Y2,,,0,14.873,clean
0,23,0,1.39,314,2.33,780880,Y4,,,0,15.372,clean
0,24,0,1.44,1,2.27,212878,Y2,,,0,16.267,clean
0,25,0,1.61,1,2.38,229597,Y2,,,0,16.580,clean
0,26,0,1.44,1,2.46,210106,Y4,,,0,15.863,clean
0,27,0,1.60,654,2.42,211090,Y2,,,0,15.139,clean
0,28,0,1.38,1,2.29,647396,Y2,,,0,14.754,clean
0,29,0,1.46,1,2.39,381142,Y2,,,0,15.034,clean
0,30,0,1.59,1,2.42,496387,Y4,,,0,15.523,clean
0,31,0,1.70,1,2.84,749677,Y4,,,0,15.759,clean
