block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,2,10.32,1,2.35,1259476,Y4,0.24/noise-like,0.24/noise-like,0,15.685,SPECTRAL-LINE
0,1,2,1.59,1,2.56,810027,Y2,,,0,15.293,clean
0,2,2,1.60,1,2.46,595003,Y2,,,0,15.341,clean
0,3,2,1.35,472,2.39,1232564,Y4,,,0,15.612,clean
0,4,2,1.51,1,2.80,1408786,Y2,,,0,15.748,clean
0,5,2,1.49,1,2.36,123560,Y4,,,0,15.669,clean
0,6,2,1.59,1,2.39,572294,Y4,,,0,15.418,clean
0,7,2,1.60,1,2.43,623077,Y4,,,0,14.988,clean
0,8,2,1.63,1,2.28,642121,Y4,,,0,14.697,clean
0,9,2,1.74,1,3.04,168532,Y4,0.00/noise-like,0.00/noise-like,2,14.447,FAM-HIT
0,10,2,1.47,1,2.44,23335,Y4,,,0,14.394,clean
0,11,2,1.71,1,2.37,129998,Y2,,,0,14.321,clean
0,12,2,1.54,1,2.37,857234,Y4,,,0,14.108,clean
0,13,2,1.68,1,2.39,829786,Y2,,,0,13.665,clean
0,14,2,1.81,1,2.41,389993,Y2,,,0,13.275,clean
0,15,2,1.88,1,2.19,744671,Y2,,,0,12.971,clean
0,16,2,1.88,1,2.33,1232743,Y4,,,0,12.806,clean
0,17,2,1.83,1,2.29,812352,Y4,,,0,12.927,clean
0,18,2,1.61,1,2.48,650167,Y4,,,0,14.109,clean
0,19,2,1.85,1,2.37,80198,Y2,,,0,13.349,clean
0,20,2,1.88,1,2.22,25392,Y4,,,0,13.103,clean
0,21,2,1.77,1,2.60,568181,Y2,,,0,12.999,clean
0,22,2,1.88,1,2.41,240862,Y4,,,0,12.890,clean
0,23,2,1.87,1,6.92,91821,Y4,0.24/noise-like,0.00/noise-like,5,12.914,FAM-HIT
0,24,2,1.68,1,2.64,1055539,Y2,,,0,13.016,clean
0,25,2,2.06,1,2.39,477523,Y4,,,0,13.158,clean
0,26,2,1.65,1,6.81,3487,Y4,0.00/noise-like,0.24/noise-like,5,13.050,FAM-HIT
0,27,2,1.76,1,2.29,695318,Y2,,,0,12.777,clean
0,28,2,1.95,1,2.23,17166,Y4,,,0,12.396,clean
0,29,2,2.04,1,2.27,888705,Y4,,,0,12.222,clean
0,30,2,2.14,1,2.34,35316,Y2,,,0,12.063,clean
0,31,2,1.65,1,2.47,674486,Y4,,,0,11.877,clean
0,32,2,1.41,584,2.35,231653,Y4,,,0,11.820,clean
0,33,2,2.39,1,2.36,1442134,Y4,,,0,11.686,clean
0,34,2,2.10,1,2.52,100940,Y4,,,0,11.492,clean
0,35,2,2.12,1,2.40,1462162,Y2,,,0,11.328,clean
0,36,2,2.20,1,2.41,640959,Y4,,,0,11.213,clean
0,37,2,1.95,1,2.40,826120,Y2,,,0,11.164,clean
0,38,2,1.90,1,2.32,130266,Y4,,,0,11.074,clean
0,39,2,2.03,1,2.38,1207799,Y4,,,0,11.248,clean
0,40,2,2.26,1,2.39,1265913,Y2,,,0,11.575,clean
0,41,2,2.25,1,2.48,718385,Y4,,,0,11.567,clean
0,42,2,1.98,1,2.43,677258,Y4,,,0,11.385,clean
0,43,2,2.02,1,2.28,775337,Y4,,,0,11.203,clean
0,44,2,2.21,1,2.34,453025,Y2,,,0,10.770,clean
0,45,2,2.07,1,2.65,480205,Y2,,,0,10.437,clean
0,46,2,2.47,1,2.33,606805,Y2,,,0,10.594,clean
0,47,2,1.96,1,2.65,36120,Y2,,,0,10.833,clean
