block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,0,5.37,1,2.52,315249,Y4,0.24/noise-like,0.00/noise-like,0,18.872,SPECTRAL-LINE
0,1,0,1.47,845,2.22,745207,Y2,,,0,18.358,clean
0,2,0,1.50,1,2.34,106037,Y2,,,0,17.749,clean
0,3,0,1.42,1,2.45,208855,Y2,,,0,17.240,clean
0,4,0,1.54,1,2.44,653565,Y4,,,0,17.104,clean
0,5,0,1.57,1,2.28,554681,Y2,,,0,17.399,clean
0,6,0,1.32,1019,2.55,109792,Y2,,,0,17.642,clean
0,7,0,1.40,1151,2.42,845522,Y2,,,0,17.330,clean
0,8,0,1.56,1,2.37,451595,Y4,,,0,16.884,clean
0,9,0,1.65,1,2.31,1201093,Y2,,,0,16.714,clean
0,10,0,1.53,1,2.29,900239,Y2,,,0,16.715,clean
0,11,0,1.54,1,2.36,559062,Y2,,,0,16.705,clean
0,12,0,1.38,664,2.36,130713,Y2,,,0,16.822,clean
0,13,0,1.60,1,2.45,651419,Y2,,,0,16.435,clean
0,14,0,1.59,1,2.66,650078,Y4,,,0,15.806,clean
0,15,0,1.66,1,2.34,30398,Y2,,,0,15.379,clean
0,16,0,1.29,1,2.46,177473,Y2,,,0,15.515,clean
0,17,0,1.64,1,2.50,463039,Y4,,,0,15.888,clean
0,18,0,1.56,247,2.52,595540,Y4,,,0,17.540,clean
0,19,0,1.69,1,2.30,1120448,Y2,,,0,15.813,clean
0,20,0,1.60,1,2.39,360578,Y2,,,0,14.931,clean
0,21,0,1.61,1,2.58,522137,Y2,,,0,14.338,clean
0,22,0,1.61,1,2.30,81092,Y2,,,0,14.223,clean
0,23,0,1.43,1197,2.59,334114,Y2,,,0,14.836,clean
0,24,0,1.64,1,2.66,137866,Y2,,,0,15.712,clean
0,25,0,1.47,1,2.31,1443923,Y2,,,0,15.905,clean
0,26,0,1.40,1268,2.29,858396,Y2,,,0,15.261,clean
0,27,0,1.61,1,2.48,1214683,Y2,,,0,14.722,clean
0,28,0,1.66,1,2.43,1422286,Y4,,,0,14.422,clean
0,29,0,1.46,1,2.42,487626,Y4,,,0,14.536,clean
0,30,0,1.76,1,2.48,1039624,Y2,,,0,15.048,clean
0,31,0,1.45,1,2.25,1003057,Y4,,,0,15.496,clean
0,32,0,3.06,1,2.28,622630,Y2,0.24/noise-like,0.00/noise-like,0,15.018,hump-note
0,33,0,1.82,1,2.41,258833,Y2,,,0,14.070,clean
0,34,0,1.99,1,2.40,502378,Y2,,,0,13.515,clean
0,35,0,1.72,1,2.30,947803,Y4,,,0,13.673,clean
0,36,0,1.65,1,2.42,151902,Y4,,,0,13.846,clean
0,37,0,1.92,1,2.41,542343,Y2,,,0,13.803,clean
0,38,0,1.69,1,2.81,36567,Y4,,,0,13.624,clean
0,39,0,1.65,1,2.35,135630,Y2,,,0,13.150,clean
0,40,0,1.83,1,2.46,903636,Y4,,,0,12.650,clean
0,41,0,1.87,1,2.46,101209,Y2,,,0,12.688,clean
0,42,0,1.78,1,2.37,998318,Y2,,,0,13.005,clean
0,43,0,1.49,1,2.32,1005024,Y4,,,0,13.196,clean
0,44,0,1.68,1,2.63,468940,Y2,,,0,12.890,clean
0,45,0,1.77,1,2.37,370860,Y2,,,0,12.398,clean
0,46,0,2.06,1,2.55,975519,Y2,,,0,12.176,clean
0,47,0,1.93,1,2.47,1065016,Y4,,,0,12.291,clean
0,48,0,2.52,1,2.40,1224250,Y4,0.00/noise-like,0.24/noise-like,0,12.400,hump-note
0,49,0,1.80,1,2.36,754237,Y2,,,0,12.338,clean
0,50,0,1.89,1,2.38,138491,Y4,,,0,11.859,clean
0,51,0,2.12,1,2.47,397325,Y4,,,0,10.768,clean
0,52,0,2.50,1,2.50,1082718,Y4,0.00/noise-like,0.00/noise-like,0,9.790,hump-note
0,53,0,2.51,1,2.35,60171,Y2,0.00/noise-like,0.00/noise-like,0,9.373,hump-note
0,54,0,2.60,1,2.55,803143,Y4,0.24/noise-like,0.24/noise-like,0,9.127,hump-note
0,55,0,3.20,1,2.63,591874,Y4,0.00/noise-like,0.00/noise-like,0,8.680,hump-note
0,56,0,2.99,1,2.35,286460,Y2,0.00/noise-like,0.00/noise-like,0,7.838,hump-note
0,57,0,0,-1,0,0,-,,,0,6.666,QUARANTINE:dark-lane range=59 distinct=58
0,58,0,0,-1,0,0,-,,,0,5.438,QUARANTINE:dark-lane range=48 distinct=47
0,59,0,0,-1,0,0,-,,,0,4.464,QUARANTINE:dark-lane range=38 distinct=38
0,60,0,0,-1,0,0,-,,,0,3.740,QUARANTINE:dark-lane range=37 distinct=35
0,61,0,0,-1,0,0,-,,,0,3.242,QUARANTINE:dark-lane range=29 distinct=30
0,62,0,0,-1,0,0,-,,,0,2.737,QUARANTINE:dark-lane range=23 distinct=24
0,63,0,0,-1,0,0,-,,,0,2.238,QUARANTINE:dark-lane range=20 distinct=21
